UTM_X,UTM_Y,elevation
618369.2941856290,4195813.8033100246,791.469055175781
618370.5758220552,4195725.0370617751,769.958801269531
618371.8574353307,4195636.2708249548,752.46044921875
618373.1390254552,4195547.5045995656,720.769226074219
618374.4205924284,4195458.7383856038,696.643432617188
618375.7021362502,4195369.9721830729,676.768798828125
618376.9836569201,4195281.2059919704,671.582885742188
618378.2651544382,4195192.4398122979,661.911315917969
618379.5466288038,4195103.6736440537,662.539794921875
618380.8280800172,4195014.9074872397,659.705139160156
618382.1095080778,4194926.1413418548,652.508850097656
618383.3909129854,4194837.3752078973,654.735656738281
618384.6722947396,4194748.6090853689,653.081115722656
618385.9536533408,4194659.8429742698,651.792663574219
618412.6943623472,4197678.9131587762,708.978210449219
618413.9772470824,4197590.1466632877,687.627624511719
618415.2601086583,4197501.3801792264,680.673034667969
618416.5429470744,4197412.6137065999,672.739868164062
618417.8257623308,4197323.8472453998,677.13427734375
618419.1085544270,4197235.0807956327,686.119689941406
618420.3913233626,4197146.3143572947,688.428344726562
618421.6740691378,4197057.5479303868,692.124938964844
618422.9567917520,4196968.7815149091,697.01513671875
618424.2394912048,4196880.0151108624,704.613952636719
618425.5221674966,4196791.2487182459,692.340393066406
618426.8048206269,4196702.4823370585,684.758117675781
618428.0874505950,4196613.7159672994,685.478881835938
618429.3700574010,4196524.9496089723,713.592590332031
618430.6526410448,4196436.1832620744,732.623718261719
618431.9352015260,4196347.4169266056,751.856323242188
618433.2177388445,4196258.6506025670,772.269653320312
618434.5002529996,4196169.8842899567,783.042602539062
618435.7827439916,4196081.1179887764,780.318664550781
618437.0652118202,4195992.3516990235,778.698547363281
618438.3476564846,4195903.5854207026,779.842468261719
618439.6300779852,4195814.8191538081,781.545227050781
618440.9124763214,4195726.0528983446,772.509155273438
618442.1948514932,4195637.2866543084,749.698303222656
618443.4772035002,4195548.5204217024,728.346069335938
618444.7595323422,4195459.7542005228,695.322204589844
618446.0418380190,4195370.9879907742,675.773559570312
618447.3241205302,4195282.2217924548,665.470581054688
618448.6063798758,4195193.4556055618,658.232727050781
618449.8886160553,4195104.6894300971,655.094543457031
618451.1708290684,4195015.9232660625,652.853942871094
618452.4530189153,4194927.1571134552,644.873413085938
618453.7351855952,4194838.3909722753,647.036254882812
618455.0173291084,4194749.6248425245,646.828552246094
618456.2994494544,4194660.8587242002,648.215637207031
618483.0142571210,4197679.9297576975,709.467651367188
618484.2979040556,4197591.1632550051,694.13720703125
