x,y,z,lat,lon,elevation
619493.350677794,4194757.799346468,700.0,37.89249593199541,-1.6409996306784276,603.8488
619523.1182633719,4194757.799346468,700.0,37.89249202337444,-1.6406611709421608,601.0058
619552.8858489499,4194757.799346468,700.0,37.89248811378065,-1.6403227112713625,598.61005
619582.6534345278,4194757.799346468,700.0,37.89248420321407,-1.6399842516660328,595.93964
619612.4210201057,4194757.799346468,700.0,37.892480291674694,-1.6396457921262226,590.30615
619642.1886056836,4194757.799346468,700.0,37.892476379162524,-1.6393073326519063,586.8493
619671.9561912615,4194757.799346468,700.0,37.89247246567754,-1.638968873243135,587.1878
619701.7237768394,4194757.799346468,700.0,37.892468551219764,-1.6386304138999084,586.8378
619731.4913624173,4194757.799346468,700.0,37.892464635789196,-1.6382919546222268,586.7362
619761.2589479953,4194757.799346468,700.0,37.89246071938584,-1.6379534954101407,586.644
619791.0265335732,4194757.799346468,700.0,37.892456802009676,-1.6376150362636506,586.6399
619820.7941191511,4194757.799346468,700.0,37.89245288366072,-1.6372765771827562,592.2144
619850.5617047291,4194757.799346468,700.0,37.89244896433897,-1.6369381181675084,594.3985
619880.329290307,4194757.799346468,700.0,37.89244504404442,-1.636599659217882,594.4488
619910.0968758849,4194757.799346468,700.0,37.892441122777086,-1.6362612003339274,594.0447
619939.8644614628,4194757.799346468,700.0,37.89243720053696,-1.6359227415156452,593.1916
619969.6320470407,4194757.799346468,700.0,37.89243327732404,-1.6355842827630602,593.868
619999.3996326186,4194757.799346468,700.0,37.892429353138326,-1.635245824076173,591.4844
620029.1672181966,4194757.799346468,700.0,37.892425427979816,-1.6349073654550341,589.7654
620058.9348037745,4194757.799346468,700.0,37.89242150184852,-1.6345689068996183,588.6138
620088.7023893524,4194757.799346468,700.0,37.892417574744435,-1.6342304484099508,588.102
620118.4699749304,4194757.799346468,700.0,37.89241364666756,-1.6338919899860826,588.8706
620148.2375605083,4194757.799346468,700.0,37.892409717617895,-1.6335535316279883,589.76794
620178.0051460862,4194757.799346468,700.0,37.89240578759545,-1.6332150733356934,591.4159
620207.7727316641,4194757.799346468,700.0,37.89240185660021,-1.6328766151092233,594.5349
620237.540317242,4194757.799346468,700.0,37.892397924632185,-1.6325381569486033,598.3489
620267.30790282,4194757.799346468,700.0,37.89239399169137,-1.6321996988538334,605.7958
620297.0754883979,4194757.799346468,700.0,37.89239005777778,-1.6318612408249393,609.0623
620326.8430739758,4194757.799346468,700.0,37.892386122891395,-1.631522782861921,612.8984
620356.6106595537,4194757.799346468,700.0,37.892382187032226,-1.631184324964829,616.13025
620386.3782451317,4194757.799346468,700.0,37.89237825020028,-1.630845867133638,620.2729
620416.1458307096,4194757.799346468,700.0,37.892374312395546,-1.6305074093683738,630.6267
620445.9134162875,4194757.799346468,700.0,37.89237037361803,-1.630168951669087,636.30896
620475.6810018654,4194757.799346468,700.0,37.89236643386773,-1.629830494035752,642.8882
620505.4485874433,4194757.799346468,700.0,37.892362493144645,-1.62949203646842,649.9858
620535.2161730212,4194757.799346468,700.0,37.89235855144879,-1.6291535789670653,656.63885
