,UTM_X,UTM_Y,latitude,longitude,elevation
30,618283.0,4195195.65,37.89659931718723,-1.6546896551933898,666.22064
31,618283.0,4195210.305,37.896731367060575,-1.654687251414688,669.22675
32,618283.0,4195224.96,37.89686341693081,-1.6546848476202614,669.22675
33,618283.0,4195239.615,37.89699546679798,-1.6546824438101357,671.8547
34,618283.0,4195254.27,37.89712751666201,-1.6546800399843107,671.8547
35,618283.0,4195268.925,37.897259566522955,-1.6546776361427866,674.3494
36,618283.0,4195283.58,37.89739161638079,-1.6546752322855633,674.3494
37,618283.0,4195298.235,37.89752366623555,-1.6546728284126153,676.96014
38,618283.0,4195312.89,37.89765571608719,-1.654670424523968,679.6442
39,618283.0,4195327.545,37.897787765935725,-1.654668020619596,679.6442
40,618283.0,4195342.2,37.89791981578119,-1.654665616699525,683.04095
41,618283.0,4195356.855,37.898051865623536,-1.6546632127637546,683.04095
42,618283.0,4195371.51,37.898183915462766,-1.6546608088122852,686.6279
43,618283.0,4195386.165,37.89831596529891,-1.6546584048451163,686.6279
44,618283.0,4195400.82,37.89844801513197,-1.6546560008622229,692.3553
45,618283.0,4195415.475,37.89858006496191,-1.6546535968636047,699.25256
46,618283.0,4195430.13,37.89871211478876,-1.6546511928493128,699.25256
47,618283.0,4195444.785,37.898844164612505,-1.6546487888192964,706.86755
48,618283.0,4195459.44,37.89897621443315,-1.6546463847735806,706.86755
49,618283.0,4195474.095,37.8991082642507,-1.6546439807121402,714.46924
50,618283.0,4195488.75,37.89924031406514,-1.6546415766350004,714.46924
51,618283.0,4195503.405,37.8993723638765,-1.6546391725421616,721.0964
52,618283.0,4195518.06,37.89950441368473,-1.654636768433598,726.32776
53,618283.0,4195532.715,37.899636463489884,-1.6546343643093355,723.2607
54,618283.0,4195547.37,37.89976851329194,-1.6546319601693735,729.6507
55,618283.0,4195562.025,37.89990056309088,-1.6546295560137123,729.6507
56,618283.0,4195576.68,37.90003261288673,-1.6546271518423266,735.5601
57,618283.0,4195591.335,37.90016466267947,-1.654624747655216,735.5601
58,618283.0,4195605.99,37.90029671246912,-1.6546223434524063,741.48083
59,618283.0,4195620.645,37.90042876225567,-1.6546199392338974,747.3141
60,618283.0,4195635.3,37.90056081203911,-1.6546175349996892,747.3141
61,618283.0,4195649.955,37.90069286181947,-1.6546151307497563,753.13525
62,618283.0,4195664.61,37.900824911596715,-1.6546127264841244,753.13525
63,618283.0,4195679.265,37.90095696137085,-1.6546103222027677,760.06116
64,618283.0,4195693.92,37.901089011141906,-1.6546079179057118,768.14075
65,618283.0,4195708.575,37.90122106090985,-1.6546055135929312,768.4576
66,618283.0,4195723.23,37.901353110674705,-1.6546031092644768,776.88525
67,618283.0,4195737.885,37.90148516043645,-1.6546007049202724,776.88525
68,618283.0,4195752.54,37.901617210195106,-1.6545983005603941,786.2281
69,618283.0,4195767.195,37.901749259950655,-1.6545958961847658,786.2281
70,618283.0,4195781.85,37.90188130970308,-1.6545934917934637,796.0118
71,618283.0,4195796.505,37.90201335945246,-1.654591087386437,804.6785
72,618283.0,4195811.16,37.902145409198695,-1.654588682963711,804.6785
73,618283.0,4195825.815,37.90227745894185,-1.6545862785252603,810.31445
74,618283.0,4195840.47,37.90240950868189,-1.6545838740711105,810.31445
75,618283.0,4195855.125,37.90254155841885,-1.654581469601236,813.0498
76,618283.0,4195869.78,37.90267360815269,-1.6545790651156622,811.34125
77,618283.0,4195884.435,37.902805657883434,-1.6545766606143637,812.22687
78,618283.0,4195899.09,37.90293770761108,-1.6545742560973662,811.3769
79,618283.0,4195913.745,37.903069757335636,-1.654571851564644,811.3769
80,618283.0,4195928.4,37.90320180705709,-1.6545694470162224,809.75415
81,618283.0,4195943.055,37.903333856775426,-1.6545670424521017,809.75415
82,618283.0,4195957.71,37.903465906490666,-1.6545646378722563,807.73914
83,618283.0,4195972.365,37.90359795620282,-1.6545622332767116,807.73914
84,618283.0,4195987.02,37.90373000591187,-1.6545598286654424,805.174
85,618283.0,4196001.675,37.90386205561783,-1.6545574240384484,802.6569
86,618283.0,4196016.33,37.90399410532066,-1.6545550193957552,802.6569
87,618283.0,4196030.985,37.904126155020414,-1.654552614737363,797.6539
88,618283.0,4196045.64,37.90425820471706,-1.6545502100632459,797.6539
89,618283.0,4196060.295,37.90439025441061,-1.6545478053734297,794.9329
90,618283.0,4196074.95,37.90452230410105,-1.6545454006678888,792.2565
91,618283.0,4196089.605,37.90465435378841,-1.6545429959466231,792.2565
92,618283.0,4196104.26,37.90478640347266,-1.6545405912096838,788.5997
93,618283.0,4196118.915,37.904918453153805,-1.6545381864569944,788.5997
94,618283.0,4196133.57,37.90505050283184,-1.6545357816886057,785.49347
